stack,lab,Time,Nuclear_Label,Cell_Label,Branch,SmallBranch,Lineage
stack_2,106_024,106,24,8,1_0,00000000001_0_0,1
stack_2,105_026,105,26,7,1_0,00000000001_0_0,1
stack_2,104_020,104,20,7,1_0,00000000001_0_0,1
stack_2,103_025,103,25,9,1_0,00000000001_0_0,1
stack_2,102_020,102,20,6,1_0,00000000001_0_0,1
stack_2,101_013,101,13,3,1_0,00000000001_0_0,1
stack_2,100_022,100,22,2,1_0,00000000001_0_0,1
stack_2,099_021,99,21,2,1_0,00000000001_0_0,1
stack_2,098_023,98,23,2,1_0,00000000001_0_0,1
stack_2,097_012,97,12,2,1_0,00000000001_0_0,1
stack_2,110_022,110,22,7,1_0,00000000001_0_0,1
stack_2,063_005,63,5,5,1_0,0000000000001_0,1
stack_2,093_015,93,15,2,1_0,00000000001_0_0,1
stack_2,061_006,61,6,5,1_0,0000000000001_0,1
stack_2,029_008,29,8,11,1_0,0000000000001_0,1
stack_2,028_007,28,7,9,1_0,0000000000001_0,1
stack_2,027_011,27,11,9,1_0,0000000000001_0,1
stack_2,026_011,26,11,9,1_0,0000000000001_0,1
stack_2,025_009,25,9,10,1_0,0000000000001_0,1
stack_2,024_012,24,12,5,1_0,0000000000001_0,1
stack_2,023_006,23,6,7,1_0,0000000000001_0,1
stack_2,022_008,22,8,6,1_0,0000000000001_0,1
stack_2,021_005,21,5,7,1_0,000000000000001,1
stack_2,020_008,20,8,3,1_0,000000000000001,1
stack_2,019_008,19,8,3,1_0,000000000000001,1
stack_2,018_007,18,7,5,1_0,000000000000001,1
stack_2,017_004,17,4,1,1_0,000000000000001,1
stack_2,030_011,30,11,3,1_0,0000000000001_0,1
stack_2,016_002,16,2,5,1_0,000000000000001,1
stack_2,014_005,14,5,6,1_0,000000000000001,1
stack_2,013_006,13,6,7,1_0,000000000000001,1
stack_2,012_003,12,3,6,1_0,000000000000001,1
stack_2,011_002,11,2,4,1_0,000000000000001,1
stack_2,010_005,10,5,4,1_0,000000000000001,1
stack_2,009_007,9,7,2,1_0,000000000000001,1
stack_2,008_003,8,3,2,1_0,000000000000001,1
stack_2,007_003,7,3,2,1_0,000000000000001,1
stack_2,006_004,6,4,2,1_0,000000000000001,1
stack_2,005_005,5,5,2,1_0,000000000000001,1
stack_2,004_005,4,5,2,1_0,000000000000001,1
stack_2,003_007,3,7,2,1_0,000000000000001,1
stack_2,062_002,62,2,5,1_0,0000000000001_0,1
stack_2,015_006,15,6,5,1_0,000000000000001,1
stack_2,031_012,31,12,7,1_0,0000000000001_0,1
stack_2,002_002,2,2,2,1_0,000000000000001,1
stack_2,053_007,53,7,3,1_0,0000000000001_0,1
stack_2,060_010,60,10,3,1_0,0000000000001_0,1
stack_2,059_011,59,11,5,1_0,0000000000001_0,1
stack_2,058_014,58,14,5,1_0,0000000000001_0,1
stack_2,057_008,57,8,5,1_0,0000000000001_0,1
stack_2,056_004,56,4,4,1_0,0000000000001_0,1
stack_2,055_015,55,15,5,1_0,0000000000001_0,1
stack_2,054_013,54,13,4,1_0,0000000000001_0,1
stack_2,032_010,32,10,7,1_0,0000000000001_0,1
stack_2,052_008,52,8,5,1_0,0000000000001_0,1
stack_2,051_009,51,9,4,1_0,0000000000001_0,1
stack_2,050_010,50,10,5,1_0,0000000000001_0,1
stack_2,048_012,48,12,5,1_0,0000000000001_0,1
stack_2,047_007,47,7,5,1_0,0000000000001_0,1
stack_2,049_011,49,11,5,1_0,0000000000001_0,1
stack_2,045_015,45,15,5,1_0,0000000000001_0,1
stack_2,033_006,33,6,7,1_0,0000000000001_0,1
stack_2,034_006,34,6,5,1_0,0000000000001_0,1
stack_2,035_010,35,10,5,1_0,0000000000001_0,1
stack_2,036_008,36,8,5,1_0,0000000000001_0,1
stack_2,046_012,46,12,5,1_0,0000000000001_0,1
stack_2,038_004,38,4,5,1_0,0000000000001_0,1
stack_2,037_008,37,8,5,1_0,0000000000001_0,1
stack_2,040_007,40,7,5,1_0,0000000000001_0,1
stack_2,041_008,41,8,5,1_0,0000000000001_0,1
stack_2,042_012,42,12,5,1_0,0000000000001_0,1
stack_2,043_015,43,15,5,1_0,0000000000001_0,1
stack_2,044_014,44,14,5,1_0,0000000000001_0,1
stack_2,039_007,39,7,5,1_0,0000000000001_0,1
stack_2,085_017,85,17,13,1_1,00000000001_0_1,1
stack_2,081_022,81,22,14,1_1,00000000001_0_1,1
stack_2,082_014,82,14,14,1_1,00000000001_0_1,1
stack_2,083_027,83,27,14,1_1,00000000001_0_1,1
stack_2,084_015,84,15,14,1_1,00000000001_0_1,1
stack_2,086_029,86,29,14,1_1,00000000001_0_1,1
stack_2,064_004,64,4,5,1_1,0000000000001_0,1
stack_2,088_026,88,26,12,1_1,00000000001_0_1,1
stack_2,089_006,89,6,13,1_1,00000000001_0_1,1
stack_2,090_012,90,12,14,1_1,00000000001_0_1,1
stack_2,091_009,91,9,13,1_1,00000000001_0_1,1
stack_2,092_010,92,10,13,1_1,00000000001_0_1,1
stack_2,087_032,87,32,12,1_1,00000000001_0_1,1
stack_2,080_020,80,20,13,1_1,00000000001_0_1,1
stack_2,065_009,65,9,6,1_1,0000000000001_0,1
stack_2,078_022,78,22,15,1_1,00000000001_0_1,1
stack_2,077_030,77,30,15,1_1,00000000001_0_1,1
stack_2,076_032,76,32,14,1_1,00000000001_0_1,1
stack_2,075_028,75,28,15,1_1,00000000001_0_1,1
stack_2,074_029,74,29,14,1_1,00000000001_0_1,1
stack_2,073_024,73,24,14,1_1,00000000001_0_1,1
stack_2,072_025,72,25,14,1_1,00000000001_0_1,1
stack_2,070_018,70,18,12,1_1,0000000000001_0,1
stack_2,069_003,69,3,12,1_1,0000000000001_0,1
stack_2,068_003,68,3,11,1_1,0000000000001_0,1
stack_2,067_004,67,4,7,1_1,0000000000001_0,1
stack_2,066_010,66,10,7,1_1,0000000000001_0,1
stack_2,093_028,93,28,12,1_1,00000000001_0_1,1
stack_2,079_022,79,22,17,1_1,00000000001_0_1,1
stack_2,094_021,94,21,11,1_1,00000000001_0_1,1
stack_2,109_011,109,11,4,1_1,00000000001_0_1,1
stack_2,096_021,96,21,10,1_1,00000000001_0_1,1
stack_2,124_008,124,8,2,1_1,00000000001_0_1,1
stack_2,123_007,123,7,3,1_1,00000000001_0_1,1
stack_2,122_010,122,10,1,1_1,00000000001_0_1,1
stack_2,121_004,121,4,3,1_1,00000000001_0_1,1
stack_2,120_003,120,3,3,1_1,00000000001_0_1,1
stack_2,119_003,119,3,2,1_1,00000000001_0_1,1
stack_2,118_009,118,9,2,1_1,00000000001_0_1,1
stack_2,117_004,117,4,2,1_1,00000000001_0_1,1
stack_2,116_012,116,12,2,1_1,00000000001_0_1,1
stack_2,115_020,115,20,2,1_1,00000000001_0_1,1
stack_2,114_011,114,11,3,1_1,00000000001_0_1,1
stack_2,113_017,113,17,4,1_1,00000000001_0_1,1
stack_2,112_019,112,19,4,1_1,00000000001_0_1,1
stack_2,111_013,111,13,5,1_1,00000000001_0_1,1
stack_2,110_017,110,17,3,1_1,00000000001_0_1,1
stack_2,108_027,108,27,3,1_1,00000000001_0_1,1
stack_2,107_016,107,16,5,1_1,00000000001_0_1,1
stack_2,106_022,106,22,3,1_1,00000000001_0_1,1
stack_2,105_024,105,24,5,1_1,00000000001_0_1,1
stack_2,104_021,104,21,5,1_1,00000000001_0_1,1
stack_2,103_015,103,15,7,1_1,00000000001_0_1,1
stack_2,102_009,102,9,8,1_1,00000000001_0_1,1
stack_2,101_009,101,9,5,1_1,00000000001_0_1,1
stack_2,100_019,100,19,5,1_1,00000000001_0_1,1
stack_2,099_018,99,18,7,1_1,00000000001_0_1,1
stack_2,098_008,98,8,8,1_1,00000000001_0_1,1
stack_2,097_014,97,14,9,1_1,00000000001_0_1,1
stack_2,095_019,95,19,10,1_1,00000000001_0_1,1
stack_2,063_005,63,5,5,1_1,0000000000001_0,1
stack_2,031_012,31,12,7,1_1,0000000000001_0,1
stack_2,061_006,61,6,5,1_1,0000000000001_0,1
stack_2,028_007,28,7,9,1_1,0000000000001_0,1
stack_2,027_011,27,11,9,1_1,0000000000001_0,1
stack_2,026_011,26,11,9,1_1,0000000000001_0,1
stack_2,025_009,25,9,10,1_1,0000000000001_0,1
stack_2,024_012,24,12,5,1_1,0000000000001_0,1
stack_2,023_006,23,6,7,1_1,0000000000001_0,1
stack_2,022_008,22,8,6,1_1,0000000000001_0,1
stack_2,021_005,21,5,7,1_1,000000000000001,1
stack_2,020_008,20,8,3,1_1,000000000000001,1
stack_2,019_008,19,8,3,1_1,000000000000001,1
stack_2,018_007,18,7,5,1_1,000000000000001,1
stack_2,017_004,17,4,1,1_1,000000000000001,1
stack_2,015_006,15,6,5,1_1,000000000000001,1
stack_2,029_008,29,8,11,1_1,0000000000001_0,1
stack_2,014_005,14,5,6,1_1,000000000000001,1
stack_2,012_003,12,3,6,1_1,000000000000001,1
stack_2,011_002,11,2,4,1_1,000000000000001,1
stack_2,010_005,10,5,4,1_1,000000000000001,1
stack_2,009_007,9,7,2,1_1,000000000000001,1
stack_2,008_003,8,3,2,1_1,000000000000001,1
stack_2,007_003,7,3,2,1_1,000000000000001,1
stack_2,006_004,6,4,2,1_1,000000000000001,1
stack_2,005_005,5,5,2,1_1,000000000000001,1
stack_2,004_005,4,5,2,1_1,000000000000001,1
stack_2,003_007,3,7,2,1_1,000000000000001,1
stack_2,002_002,2,2,2,1_1,000000000000001,1
stack_2,001_001,1,1,5,1_1,000000000000001,1
stack_2,062_002,62,2,5,1_1,0000000000001_0,1
stack_2,013_006,13,6,7,1_1,000000000000001,1
stack_2,030_011,30,11,3,1_1,0000000000001_0,1
stack_2,016_002,16,2,5,1_1,000000000000001,1
stack_2,032_010,32,10,7,1_1,0000000000001_0,1
stack_2,059_011,59,11,5,1_1,0000000000001_0,1
stack_2,058_014,58,14,5,1_1,0000000000001_0,1
stack_2,057_008,57,8,5,1_1,0000000000001_0,1
stack_2,056_004,56,4,4,1_1,0000000000001_0,1
stack_2,055_015,55,15,5,1_1,0000000000001_0,1
stack_2,054_013,54,13,4,1_1,0000000000001_0,1
stack_2,053_007,53,7,3,1_1,0000000000001_0,1
stack_2,052_008,52,8,5,1_1,0000000000001_0,1
stack_2,051_009,51,9,4,1_1,0000000000001_0,1
stack_2,050_010,50,10,5,1_1,0000000000001_0,1
stack_2,049_011,49,11,5,1_1,0000000000001_0,1
stack_2,048_012,48,12,5,1_1,0000000000001_0,1
stack_2,047_007,47,7,5,1_1,0000000000001_0,1
stack_2,046_012,46,12,5,1_1,0000000000001_0,1
stack_2,060_010,60,10,3,1_1,0000000000001_0,1
stack_2,036_008,36,8,5,1_1,0000000000001_0,1
stack_2,044_014,44,14,5,1_1,0000000000001_0,1
stack_2,043_015,43,15,5,1_1,0000000000001_0,1
stack_2,042_012,42,12,5,1_1,0000000000001_0,1
stack_2,041_008,41,8,5,1_1,0000000000001_0,1
stack_2,040_007,40,7,5,1_1,0000000000001_0,1
stack_2,039_007,39,7,5,1_1,0000000000001_0,1
stack_2,038_004,38,4,5,1_1,0000000000001_0,1
stack_2,037_008,37,8,5,1_1,0000000000001_0,1
stack_2,045_015,45,15,5,1_1,0000000000001_0,1
stack_2,035_010,35,10,5,1_1,0000000000001_0,1
stack_2,034_006,34,6,5,1_1,0000000000001_0,1
stack_2,033_006,33,6,7,1_1,0000000000001_0,1
stack_2,084_006,84,6,10,1_2,00000000001_1_0,1
stack_2,093_012,93,12,18,1_2,00000000001_1_0,1
stack_2,082_016,82,16,13,1_2,00000000001_1_0,1
stack_2,085_004,85,4,10,1_2,00000000001_1_0,1
stack_2,083_010,83,10,13,1_2,00000000001_1_0,1
stack_2,086_018,86,18,12,1_2,00000000001_1_0,1
stack_2,092_020,92,20,19,1_2,00000000001_1_0,1
stack_2,088_002,88,2,13,1_2,00000000001_1_0,1
stack_2,089_002,89,2,18,1_2,00000000001_1_0,1
stack_2,090_004,90,4,20,1_2,00000000001_1_0,1
stack_2,091_010,91,10,19,1_2,00000000001_1_0,1
stack_2,081_012,81,12,13,1_2,00000000001_1_0,1
stack_2,087_019,87,19,13,1_2,00000000001_1_0,1
stack_2,080_025,80,25,15,1_2,00000000001_1_0,1
stack_2,073_003,73,3,18,1_2,00000000001_1_0,1
stack_2,078_015,78,15,17,1_2,00000000001_1_0,1
stack_2,077_009,77,9,17,1_2,00000000001_1_0,1
stack_2,076_004,76,4,13,1_2,00000000001_1_0,1
stack_2,075_009,75,9,14,1_2,00000000001_1_0,1
stack_2,074_005,74,5,17,1_2,00000000001_1_0,1
stack_2,072_008,72,8,20,1_2,00000000001_1_0,1
stack_2,071_006,71,6,22,1_2,00000000001_1_0,1
stack_2,070_005,70,5,19,1_2,00000000001_1_0,1
stack_2,069_007,69,7,21,1_2,00000000001_1_0,1
stack_2,068_012,68,12,20,1_2,00000000001_1_0,1
stack_2,067_010,67,10,11,1_2,00000000001_1_0,1
stack_2,066_011,66,11,5,1_2,00000000001_1_0,1
stack_2,065_012,65,12,4,1_2,00000000001_1_0,1
stack_2,079_015,79,15,18,1_2,00000000001_1_0,1
stack_2,094_009,94,9,19,1_2,00000000001_1_0,1
stack_2,124_004,124,4,19,1_2,00000000001_1_0,1
stack_2,096_005,96,5,19,1_2,00000000001_1_0,1
stack_2,064_016,64,16,4,1_2,00000000001_1_0,1
stack_2,123_011,123,11,16,1_2,00000000001_1_0,1
stack_2,122_011,122,11,11,1_2,00000000001_1_0,1
stack_2,121_014,121,14,13,1_2,00000000001_1_0,1
stack_2,120_007,120,7,11,1_2,00000000001_1_0,1
stack_2,119_009,119,9,12,1_2,00000000001_1_0,1
stack_2,118_015,118,15,7,1_2,00000000001_1_0,1
stack_2,117_007,117,7,12,1_2,00000000001_1_0,1
stack_2,116_006,116,6,8,1_2,00000000001_1_0,1
stack_2,115_013,115,13,7,1_2,00000000001_1_0,1
stack_2,114_014,114,14,6,1_2,00000000001_1_0,1
stack_2,113_010,113,10,5,1_2,00000000001_1_0,1
stack_2,112_008,112,8,5,1_2,00000000001_1_0,1
stack_2,095_009,95,9,18,1_2,00000000001_1_0,1
stack_2,111_010,111,10,4,1_2,00000000001_1_0,1
stack_2,109_002,109,2,14,1_2,00000000001_1_0,1
stack_2,108_006,108,6,13,1_2,00000000001_1_0,1
stack_2,107_002,107,2,11,1_2,00000000001_1_0,1
stack_2,106_004,106,4,11,1_2,00000000001_1_0,1
stack_2,105_004,105,4,10,1_2,00000000001_1_0,1
stack_2,104_011,104,11,10,1_2,00000000001_1_0,1
stack_2,103_005,103,5,15,1_2,00000000001_1_0,1
stack_2,102_012,102,12,15,1_2,00000000001_1_0,1
stack_2,101_008,101,8,17,1_2,00000000001_1_0,1
stack_2,100_017,100,17,17,1_2,00000000001_1_0,1
stack_2,099_019,99,19,17,1_2,00000000001_1_0,1
stack_2,098_007,98,7,19,1_2,00000000001_1_0,1
stack_2,097_020,97,20,18,1_2,00000000001_1_0,1
stack_2,110_003,110,3,9,1_2,00000000001_1_0,1
stack_2,063_020,63,20,7,1_2,00000000001_1_0,1
stack_2,025_004,25,4,12,1_2,0000000000001_1,1
stack_2,061_014,61,14,7,1_2,0000000000001_1,1
stack_2,028_001,28,1,12,1_2,0000000000001_1,1
stack_2,027_002,27,2,11,1_2,0000000000001_1,1
stack_2,026_002,26,2,11,1_2,0000000000001_1,1
stack_2,024_007,24,7,4,1_2,0000000000001_1,1
stack_2,023_007,23,7,10,1_2,0000000000001_1,1
stack_2,022_006,22,6,7,1_2,0000000000001_1,1
stack_2,021_005,21,5,7,1_2,000000000000001,1
stack_2,020_008,20,8,3,1_2,000000000000001,1
stack_2,019_008,19,8,3,1_2,000000000000001,1
stack_2,018_007,18,7,5,1_2,000000000000001,1
stack_2,017_004,17,4,1,1_2,000000000000001,1
stack_2,016_002,16,2,5,1_2,000000000000001,1
stack_2,015_006,15,6,5,1_2,000000000000001,1
stack_2,014_005,14,5,6,1_2,000000000000001,1
stack_2,013_006,13,6,7,1_2,000000000000001,1
stack_2,012_003,12,3,6,1_2,000000000000001,1
stack_2,011_002,11,2,4,1_2,000000000000001,1
stack_2,010_005,10,5,4,1_2,000000000000001,1
stack_2,009_007,9,7,2,1_2,000000000000001,1
stack_2,008_003,8,3,2,1_2,000000000000001,1
stack_2,007_003,7,3,2,1_2,000000000000001,1
stack_2,006_004,6,4,2,1_2,000000000000001,1
stack_2,005_005,5,5,2,1_2,000000000000001,1
stack_2,004_005,4,5,2,1_2,000000000000001,1
stack_2,003_007,3,7,2,1_2,000000000000001,1
stack_2,001_001,1,1,5,1_2,000000000000001,1
stack_2,062_012,62,12,7,1_2,0000000000001_1,1
stack_2,029_002,29,2,12,1_2,0000000000001_1,1
stack_2,030_002,30,2,4,1_2,0000000000001_1,1
stack_2,002_002,2,2,2,1_2,000000000000001,1
stack_2,032_007,32,7,6,1_2,0000000000001_1,1
stack_2,059_010,59,10,7,1_2,0000000000001_1,1
stack_2,058_004,58,4,7,1_2,0000000000001_1,1
stack_2,057_002,57,2,7,1_2,0000000000001_1,1
stack_2,056_002,56,2,6,1_2,0000000000001_1,1
stack_2,055_007,55,7,4,1_2,0000000000001_1,1
stack_2,054_003,54,3,3,1_2,0000000000001_1,1
stack_2,053_003,53,3,4,1_2,0000000000001_1,1
stack_2,052_002,52,2,6,1_2,0000000000001_1,1
stack_2,031_005,31,5,5,1_2,0000000000001_1,1
stack_2,050_005,50,5,4,1_2,0000000000001_1,1
stack_2,049_006,49,6,3,1_2,0000000000001_1,1
stack_2,048_010,48,10,3,1_2,0000000000001_1,1
stack_2,047_002,47,2,4,1_2,0000000000001_1,1
stack_2,046_003,46,3,4,1_2,0000000000001_1,1
stack_2,051_005,51,5,3,1_2,0000000000001_1,1
stack_2,044_002,44,2,3,1_2,0000000000001_1,1
stack_2,033_002,33,2,6,1_2,0000000000001_1,1
stack_2,045_004,45,4,3,1_2,0000000000001_1,1
stack_2,034_002,34,2,3,1_2,0000000000001_1,1
stack_2,035_002,35,2,3,1_2,0000000000001_1,1
stack_2,060_001,60,1,7,1_2,0000000000001_1,1
stack_2,037_002,37,2,3,1_2,0000000000001_1,1
stack_2,036_002,36,2,3,1_2,0000000000001_1,1
stack_2,039_001,39,1,3,1_2,0000000000001_1,1
stack_2,040_001,40,1,3,1_2,0000000000001_1,1
stack_2,041_005,41,5,3,1_2,0000000000001_1,1
stack_2,042_006,42,6,3,1_2,0000000000001_1,1
stack_2,043_002,43,2,3,1_2,0000000000001_1,1
stack_2,038_002,38,2,3,1_2,0000000000001_1,1
stack_2,078_004,78,4,23,1_3,00000000001_1_1,1
stack_2,075_014,75,14,19,1_3,00000000001_1_1,1
stack_2,076_003,76,3,16,1_3,00000000001_1_1,1
stack_2,077_004,77,4,22,1_3,00000000001_1_1,1
stack_2,079_007,79,7,24,1_3,00000000001_1_1,1
stack_2,085_001,85,1,17,1_3,00000000001_1_1,1
stack_2,081_016,81,16,20,1_3,00000000001_1_1,1
stack_2,082_010,82,10,17,1_3,00000000001_1_1,1
stack_2,083_008,83,8,17,1_3,00000000001_1_1,1
stack_2,084_001,84,1,17,1_3,00000000001_1_1,1
stack_2,080_019,80,19,23,1_3,00000000001_1_1,1
stack_2,074_008,74,8,18,1_3,00000000001_1_1,1
stack_2,061_014,61,14,7,1_3,0000000000001_1,1
stack_2,072_003,72,3,17,1_3,00000000001_1_1,1
stack_2,071_013,71,13,21,1_3,00000000001_1_1,1
stack_2,070_004,70,4,22,1_3,00000000001_1_1,1
stack_2,069_006,69,6,23,1_3,00000000001_1_1,1
stack_2,068_002,68,2,19,1_3,00000000001_1_1,1
stack_2,067_005,67,5,14,1_3,00000000001_1_1,1
stack_2,066_004,66,4,11,1_3,00000000001_1_1,1
stack_2,065_010,65,10,10,1_3,00000000001_1_1,1
stack_2,064_014,64,14,9,1_3,00000000001_1_1,1
stack_2,063_018,63,18,9,1_3,00000000001_1_1,1
stack_2,062_012,62,12,7,1_3,0000000000001_1,1
stack_2,086_001,86,1,16,1_3,00000000001_1_1,1
stack_2,073_012,73,12,16,1_3,00000000001_1_1,1
stack_2,087_001,87,1,18,1_3,00000000001_1_1,1
stack_2,102_010,102,10,7,1_3,00000000001_1_1,1
stack_2,089_003,89,3,21,1_3,00000000001_1_1,1
stack_2,060_001,60,1,7,1_3,0000000000001_1,1
stack_2,106_008,106,8,5,1_3,00000000001_1_1,1
stack_2,105_007,105,7,6,1_3,00000000001_1_1,1
stack_2,104_008,104,8,6,1_3,00000000001_1_1,1
stack_2,103_022,103,22,6,1_3,00000000001_1_1,1
stack_2,101_007,101,7,9,1_3,00000000001_1_1,1
stack_2,100_013,100,13,9,1_3,00000000001_1_1,1
stack_2,099_012,99,12,13,1_3,00000000001_1_1,1
stack_2,098_002,98,2,14,1_3,00000000001_1_1,1
stack_2,097_001,97,1,16,1_3,00000000001_1_1,1
stack_2,096_001,96,1,14,1_3,00000000001_1_1,1
stack_2,095_001,95,1,14,1_3,00000000001_1_1,1
stack_2,094_010,94,10,17,1_3,00000000001_1_1,1
stack_2,093_011,93,11,20,1_3,00000000001_1_1,1
stack_2,092_006,92,6,21,1_3,00000000001_1_1,1
stack_2,091_003,91,3,22,1_3,00000000001_1_1,1
stack_2,090_003,90,3,22,1_3,00000000001_1_1,1
stack_2,088_003,88,3,18,1_3,00000000001_1_1,1
stack_2,059_010,59,10,7,1_3,0000000000001_1,1
stack_2,056_002,56,2,6,1_3,0000000000001_1,1
stack_2,057_002,57,2,7,1_3,0000000000001_1,1
stack_2,025_004,25,4,12,1_3,0000000000001_1,1
stack_2,024_007,24,7,4,1_3,0000000000001_1,1
stack_2,023_007,23,7,10,1_3,0000000000001_1,1
stack_2,022_006,22,6,7,1_3,0000000000001_1,1
stack_2,021_005,21,5,7,1_3,000000000000001,1
stack_2,020_008,20,8,3,1_3,000000000000001,1
stack_2,019_008,19,8,3,1_3,000000000000001,1
stack_2,018_007,18,7,5,1_3,000000000000001,1
stack_2,017_004,17,4,1,1_3,000000000000001,1
stack_2,016_002,16,2,5,1_3,000000000000001,1
stack_2,014_005,14,5,6,1_3,000000000000001,1
stack_2,013_006,13,6,7,1_3,000000000000001,1
stack_2,012_003,12,3,6,1_3,000000000000001,1
stack_2,011_002,11,2,4,1_3,000000000000001,1
stack_2,010_005,10,5,4,1_3,000000000000001,1
stack_2,009_007,9,7,2,1_3,000000000000001,1
stack_2,008_003,8,3,2,1_3,000000000000001,1
stack_2,007_003,7,3,2,1_3,000000000000001,1
stack_2,006_004,6,4,2,1_3,000000000000001,1
stack_2,005_005,5,5,2,1_3,000000000000001,1
stack_2,004_005,4,5,2,1_3,000000000000001,1
stack_2,003_007,3,7,2,1_3,000000000000001,1
stack_2,002_002,2,2,2,1_3,000000000000001,1
stack_2,001_001,1,1,5,1_3,000000000000001,1
stack_2,058_004,58,4,7,1_3,0000000000001_1,1
stack_2,026_002,26,2,11,1_3,0000000000001_1,1
stack_2,027_002,27,2,11,1_3,0000000000001_1,1
stack_2,015_006,15,6,5,1_3,000000000000001,1
stack_2,029_002,29,2,12,1_3,0000000000001_1,1
stack_2,028_001,28,1,12,1_3,0000000000001_1,1
stack_2,054_003,54,3,3,1_3,0000000000001_1,1
stack_2,053_003,53,3,4,1_3,0000000000001_1,1
stack_2,052_002,52,2,6,1_3,0000000000001_1,1
stack_2,051_005,51,5,3,1_3,0000000000001_1,1
stack_2,050_005,50,5,4,1_3,0000000000001_1,1
stack_2,049_006,49,6,3,1_3,0000000000001_1,1
stack_2,048_010,48,10,3,1_3,0000000000001_1,1
stack_2,047_002,47,2,4,1_3,0000000000001_1,1
stack_2,046_003,46,3,4,1_3,0000000000001_1,1
stack_2,045_004,45,4,3,1_3,0000000000001_1,1
stack_2,044_002,44,2,3,1_3,0000000000001_1,1
stack_2,043_002,43,2,3,1_3,0000000000001_1,1
stack_2,055_007,55,7,4,1_3,0000000000001_1,1
stack_2,041_005,41,5,3,1_3,0000000000001_1,1
stack_2,042_006,42,6,3,1_3,0000000000001_1,1
stack_2,031_005,31,5,5,1_3,0000000000001_1,1
stack_2,032_007,32,7,6,1_3,0000000000001_1,1
stack_2,033_002,33,2,6,1_3,0000000000001_1,1
stack_2,034_002,34,2,3,1_3,0000000000001_1,1
stack_2,035_002,35,2,3,1_3,0000000000001_1,1
stack_2,030_002,30,2,4,1_3,0000000000001_1,1
stack_2,037_002,37,2,3,1_3,0000000000001_1,1
stack_2,038_002,38,2,3,1_3,0000000000001_1,1
stack_2,039_001,39,1,3,1_3,0000000000001_1,1
stack_2,040_001,40,1,3,1_3,0000000000001_1,1
stack_2,036_002,36,2,3,1_3,0000000000001_1,1
stack_2,077_019,77,19,28,2_0,00000000002_0_0,2
